#;Cajero;Apertura;Cierre;Estado;Efectivo Inicial;Efectivo Esperado;Efectivo Final;Diferencia;Total Ventas
15696;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;101318.46;0;-101318.46;1318.46
15695;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;121434.16;0;-121434.16;21434.16
15694;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;132769.88;0;-132769.88;32769.88
15693;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;132622.34;0;-132622.34;32622.34
15692;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;120183.42;0;-120183.42;20183.42
15691;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;192363.9;0;-192363.9;92363.9
15690;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;127251.72;0;-127251.72;27251.72
15689;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;186990.52000000002;0;-186990.52000000002;86990.52
15688;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;117901.77;0;-117901.77;17901.77
15687;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;137273.01;0;-137273.01;37273.01
15686;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;121861.83;0;-121861.83;21861.83
15685;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;100304.63;0;-100304.63;304.63
15684;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;148952.68;0;-148952.68;48952.68
15683;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;142652.95;0;-142652.95;42652.95
15682;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;138546.91999999998;0;-138546.91999999998;38546.92
15681;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;134858.01;0;-134858.01;34858.01
15680;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;138885.03;0;-138885.03;38885.03
15679;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;121137.53;0;-121137.53;21137.53
15678;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;140361.68;0;-140361.68;40361.68
15677;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;168922.02000000002;0;-168922.02000000002;68922.02
15676;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;131172.11;0;-131172.11;31172.11
15675;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;130806.45;0;-130806.45;30806.45
15674;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;138097.99;0;-138097.99;38097.99
15673;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;153465.97;0;-153465.97;53465.97
15672;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;135161.48;0;-135161.48;35161.48
15671;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;106893.04;0;-106893.04;6893.04
15670;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;160407.35;0;-160407.35;60407.35
15669;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;188695.12;0;-188695.12;88695.12
15668;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;152961.89;0;-152961.89;52961.89
15667;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;154820.84;0;-154820.84;54820.84
15666;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;120203.5;0;-120203.5;20203.5
15665;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;116935.20999999999;0;-116935.20999999999;16935.21
15664;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;144680.77;0;-144680.77;44680.77
15663;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;135112.55;0;-135112.55;35112.55
15662;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;130832.22;0;-130832.22;30832.22
15661;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;145306.86;0;-145306.86;45306.86
15660;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;135767.34;0;-135767.34;35767.34
15659;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;146262.27;0;-146262.27;46262.27
15658;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;117848.76;0;-117848.76;17848.76
15657;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;164132.37;0;-164132.37;64132.37
15656;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;122398.22;0;-122398.22;22398.22
15655;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;121174.8;0;-121174.8;21174.8
15654;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;144370.99;0;-144370.99;44370.99
15653;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;199151.85;0;-199151.85;99151.85
15652;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;119134.7;0;-119134.7;19134.7
15651;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;133579.45;0;-133579.45;33579.45
15650;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;110072;0;-110072;10072
15649;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;148377.68;0;-148377.68;48377.68
15648;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;109378.27;0;-109378.27;9378.27
15647;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;132188.22;0;-132188.22;32188.22
15646;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;111873.14;0;-111873.14;11873.14
15645;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;114140.55;0;-114140.55;14140.55
15644;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;137453.91999999998;0;-137453.91999999998;37453.92
15643;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;146067.97;0;-146067.97;46067.97
15642;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;165238.27;0;-165238.27;65238.27
15641;Cajero;"4/9/2026, 3:13:27 p. m.";"4/9/2026, 3:13:27 p. m.";CLOSED;100000;123853.99;0;-123853.99;23853.99
15640;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;107172.06;0;-107172.06;7172.06
15639;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;107849.53;0;-107849.53;7849.53
15638;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;131656.98;0;-131656.98;31656.98
15637;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;138885.03;0;-138885.03;38885.03
15636;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;149183.74;0;-149183.74;49183.74
15635;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;130146.3;0;-130146.3;30146.3
15634;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;183680.25;0;-183680.25;83680.25
15633;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;144373.41;0;-144373.41;44373.41
15632;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;119899.24;0;-119899.24;19899.24
15631;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;143144.77;0;-143144.77;43144.77
15630;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;136765.28;0;-136765.28;36765.28
15629;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;118888.26;0;-118888.26;18888.26
15628;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;132191.41999999998;0;-132191.41999999998;32191.42
15627;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;184876.03;0;-184876.03;84876.03
15626;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;117154.5;0;-117154.5;17154.5
15625;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;102274.29;0;-102274.29;2274.29
15624;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;129031.18;0;-129031.18;29031.18
15623;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;124789.6;0;-124789.6;24789.6
15622;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;126581.95;0;-126581.95;26581.95
15621;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;148728.29;0;-148728.29;48728.29
15620;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;151168.37;0;-151168.37;51168.37
15619;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;165277.29;0;-165277.29;65277.29
15618;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;108015.54;0;-108015.54;8015.54
15617;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;124129.73;0;-124129.73;24129.73
15616;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;121269.84;0;-121269.84;21269.84
15615;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;101597.33;0;-101597.33;1597.33
15614;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;146818.72;0;-146818.72;46818.72
15613;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;148436.09;0;-148436.09;48436.09
15612;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;182896.49;0;-182896.49;82896.49
15611;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;121807.1;0;-121807.1;21807.1
15610;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;134449.57;0;-134449.57;34449.57
15609;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;170164.43;0;-170164.43;70164.43
15608;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;168827.37;0;-168827.37;68827.37
15607;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;105176.87;0;-105176.87;5176.87
15606;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;145058.18;0;-145058.18;45058.18
15605;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;138506.29;0;-138506.29;38506.29
15604;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;171750.62;0;-171750.62;71750.62
15603;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;128681.24;0;-128681.24;28681.24
15602;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;118335.12;0;-118335.12;18335.12
15601;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;136940.24;0;-136940.24;36940.24
15600;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;105281.02;0;-105281.02;5281.02
15599;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;139496.5;0;-139496.5;39496.5
15598;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;124684;0;-124684;24684
15597;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;117599.61;0;-117599.61;17599.61
15596;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;119742.88;0;-119742.88;19742.88
15595;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;158023.58000000002;0;-158023.58000000002;58023.58
15594;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;119020;0;-119020;19020
15593;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;140288.97;0;-140288.97;40288.97
15592;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;128507.19;0;-128507.19;28507.19
15591;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;125204.22;0;-125204.22;25204.22
15590;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;137137.8;0;-137137.8;37137.8
15589;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;132422.23;0;-132422.23;32422.23
15588;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;120288.78;0;-120288.78;20288.78
15587;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;125170.74;0;-125170.74;25170.74
15586;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;109969.38;0;-109969.38;9969.38
15585;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;109850.95999999999;0;-109850.95999999999;9850.96
15584;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;120153.58;0;-120153.58;20153.58
15583;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;116791.69;0;-116791.69;16791.69
15582;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;141011.94;0;-141011.94;41011.94
15581;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;123359.16;0;-123359.16;23359.16
15580;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;113026.38;0;-113026.38;13026.38
15579;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;127065.33;0;-127065.33;27065.33
15578;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;139106.15;0;-139106.15;39106.15
15577;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;146365.2;0;-146365.2;46365.2
15576;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;190137.46000000002;0;-190137.46000000002;90137.46
15575;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;120203.5;0;-120203.5;20203.5
15574;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;141210.94;0;-141210.94;41210.94
15573;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;113858.69;0;-113858.69;13858.69
15572;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;125486.44;0;-125486.44;25486.44
15571;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;118474.77;0;-118474.77;18474.77
15570;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;149564.55;0;-149564.55;49564.55
15569;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;153465.97;0;-153465.97;53465.97
15568;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;133579.45;0;-133579.45;33579.45
15567;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;110378.67;0;-110378.67;10378.67
15566;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;149309.87;0;-149309.87;49309.87
15565;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;145058.18;0;-145058.18;45058.18
15564;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;191894.58000000002;0;-191894.58000000002;91894.58
15563;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;108481.25;0;-108481.25;8481.25
15562;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;102668.24;0;-102668.24;2668.24
15561;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;190249.4;0;-190249.4;90249.4
15560;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;186575.08000000002;0;-186575.08000000002;86575.08
15559;Cajero;"4/9/2026, 3:13:26 p. m.";"4/9/2026, 3:13:26 p. m.";CLOSED;100000;120074.48;0;-120074.48;20074.48
15558;Cajero;"4/9/2026, 3:13:25 p. m.";"4/9/2026, 3:13:25 p. m.";CLOSED;100000;174149.15;0;-174149.15;74149.15
15557;Cajero;"4/9/2026, 3:13:25 p. m.";"4/9/2026, 3:13:25 p. m.";CLOSED;100000;165238.27;0;-165238.27;65238.27
15556;Cajero;"4/9/2026, 3:13:25 p. m.";"4/9/2026, 3:13:25 p. m.";CLOSED;100000;136014.77;0;-136014.77;36014.77
15555;Cajero;"4/9/2026, 3:13:25 p. m.";"4/9/2026, 3:13:25 p. m.";CLOSED;100000;153243.03;0;-153243.03;53243.03
15554;Cajero;"4/9/2026, 3:13:25 p. m.";"4/9/2026, 3:13:25 p. m.";CLOSED;100000;165131.1;0;-165131.1;65131.1
15553;Cajero;"4/9/2026, 3:13:25 p. m.";"4/9/2026, 3:13:25 p. m.";CLOSED;100000;184479.86;0;-184479.86;84479.86
15552;Cajero;"4/9/2026, 3:13:25 p. m.";"4/9/2026, 3:13:25 p. m.";CLOSED;100000;120364.57;0;-120364.57;20364.57
15551;Cajero;"4/9/2026, 3:13:25 p. m.";"4/9/2026, 3:13:25 p. m.";CLOSED;100000;104367.49;0;-104367.49;4367.49
15550;Cajero;"4/9/2026, 3:13:25 p. m.";"4/9/2026, 3:13:25 p. m.";CLOSED;100000;121077.1;0;-121077.1;21077.1
15549;Cajero;"4/9/2026, 3:13:25 p. m.";"4/9/2026, 3:13:25 p. m.";CLOSED;100000;135767.34;0;-135767.34;35767.34
15548;Cajero;"4/9/2026, 3:13:25 p. m.";"4/9/2026, 3:13:25 p. m.";CLOSED;100000;151651.44;0;-151651.44;51651.44
15547;Cajero;"4/9/2026, 3:13:25 p. m.";"4/9/2026, 3:13:25 p. m.";CLOSED;100000;116136.63;0;-116136.63;16136.63
15546;Cajero;"4/9/2026, 3:13:25 p. m.";"4/9/2026, 3:13:25 p. m.";CLOSED;100000;122124.23;0;-122124.23;22124.23
15545;Cajero;"4/9/2026, 3:13:25 p. m.";"4/9/2026, 3:13:25 p. m.";CLOSED;100000;106607.5;0;-106607.5;6607.5
15544;Cajero;"4/9/2026, 3:13:25 p. m.";"4/9/2026, 3:13:25 p. m.";CLOSED;100000;128792.68;0;-128792.68;28792.68
15543;Cajero;"4/9/2026, 3:13:25 p. m.";"4/9/2026, 3:13:25 p. m.";CLOSED;100000;133168.66;0;-133168.66;33168.66
15542;Cajero;"4/9/2026, 3:13:25 p. m.";"4/9/2026, 3:13:25 p. m.";CLOSED;100000;191385.41999999998;0;-191385.41999999998;91385.42
15541;Cajero;"4/9/2026, 3:13:25 p. m.";"4/9/2026, 3:13:25 p. m.";CLOSED;100000;105071.04;0;-105071.04;5071.04
15540;Cajero;"4/9/2026, 3:13:25 p. m.";"4/9/2026, 3:13:25 p. m.";CLOSED;100000;135395.06;0;-135395.06;35395.06
15539;Cajero;"4/9/2026, 3:13:25 p. m.";"4/9/2026, 3:13:25 p. m.";CLOSED;100000;135235.8;0;-135235.8;35235.8
15538;Cajero;"4/9/2026, 3:13:25 p. m.";"4/9/2026, 3:13:25 p. m.";CLOSED;100000;133481.86;0;-133481.86;33481.86
15537;Cajero;"4/9/2026, 3:13:25 p. m.";"4/9/2026, 3:13:25 p. m.";CLOSED;100000;141970.32;0;-141970.32;41970.32
15536;Cajero;"4/9/2026, 3:13:25 p. m.";"4/9/2026, 3:13:25 p. m.";CLOSED;100000;146118.37;0;-146118.37;46118.37
15535;Cajero;"4/9/2026, 3:13:25 p. m.";"4/9/2026, 3:13:25 p. m.";CLOSED;100000;101005.23;0;-101005.23;1005.23
15534;Cajero;"4/9/2026, 3:13:25 p. m.";"4/9/2026, 3:13:25 p. m.";CLOSED;100000;107342.61;0;-107342.61;7342.61
15533;Cajero;"4/9/2026, 3:13:25 p. m.";"4/9/2026, 3:13:25 p. m.";CLOSED;100000;198795.34;0;-198795.34;98795.34
15532;Cajero;"4/9/2026, 3:13:25 p. m.";"4/9/2026, 3:13:25 p. m.";CLOSED;100000;127665.42;0;-127665.42;27665.42
15531;Cajero;"4/9/2026, 3:13:25 p. m.";"4/9/2026, 3:13:25 p. m.";CLOSED;100000;130169.77;0;-130169.77;30169.77
15530;Cajero;"4/9/2026, 3:13:25 p. m.";"4/9/2026, 3:13:25 p. m.";CLOSED;100000;141527.76;0;-141527.76;41527.76
15529;Cajero;"4/9/2026, 3:13:25 p. m.";"4/9/2026, 3:13:25 p. m.";CLOSED;100000;131660.15;0;-131660.15;31660.15
15528;Cajero;"4/9/2026, 3:13:25 p. m.";"4/9/2026, 3:13:25 p. m.";CLOSED;100000;116503.3;0;-116503.3;16503.3
15527;Cajero;"4/9/2026, 3:13:25 p. m.";"4/9/2026, 3:13:25 p. m.";CLOSED;100000;159973.88;0;-159973.88;59973.88
15526;Cajero;"4/9/2026, 3:13:25 p. m.";"4/9/2026, 3:13:25 p. m.";CLOSED;100000;100454.1;0;-100454.1;454.1
15525;Cajero;"4/9/2026, 3:13:25 p. m.";"4/9/2026, 3:13:25 p. m.";CLOSED;100000;133579.45;0;-133579.45;33579.45
15524;Cajero;"4/9/2026, 3:13:25 p. m.";"4/9/2026, 3:13:25 p. m.";CLOSED;100000;160563.69;0;-160563.69;60563.69
15523;Cajero;"4/9/2026, 3:13:25 p. m.";"4/9/2026, 3:13:25 p. m.";CLOSED;100000;123255.48;0;-123255.48;23255.48
15522;Cajero;"4/9/2026, 3:13:25 p. m.";"4/9/2026, 3:13:25 p. m.";CLOSED;100000;161051.4;0;-161051.4;61051.4
15521;Cajero;"4/9/2026, 3:13:25 p. m.";"4/9/2026, 3:13:25 p. m.";CLOSED;100000;104853.18;0;-104853.18;4853.18
15520;Cajero;"4/9/2026, 3:13:25 p. m.";"4/9/2026, 3:13:25 p. m.";CLOSED;100000;113658.95;0;-113658.95;13658.95
15519;Cajero;"4/9/2026, 3:13:25 p. m.";"4/9/2026, 3:13:25 p. m.";CLOSED;100000;189003.16999999998;0;-189003.16999999998;89003.17
15518;Cajero;"4/9/2026, 3:13:25 p. m.";"4/9/2026, 3:13:25 p. m.";CLOSED;100000;191489.95;0;-191489.95;91489.95
15517;Cajero;"4/9/2026, 3:13:25 p. m.";"4/9/2026, 3:13:25 p. m.";CLOSED;100000;143958.16999999998;0;-143958.16999999998;43958.17
15516;Cajero;"4/9/2026, 3:13:25 p. m.";"4/9/2026, 3:13:25 p. m.";CLOSED;100000;134497.52;0;-134497.52;34497.52
15515;Cajero;"4/9/2026, 3:13:25 p. m.";"4/9/2026, 3:13:25 p. m.";CLOSED;100000;105257.35;0;-105257.35;5257.35
15514;Cajero;"4/9/2026, 3:13:25 p. m.";"4/9/2026, 3:13:25 p. m.";CLOSED;100000;168564.41;0;-168564.41;68564.41
15513;Cajero;"4/9/2026, 3:13:25 p. m.";"4/9/2026, 3:13:25 p. m.";CLOSED;100000;149313.56;0;-149313.56;49313.56
